LABEL,SubClass Of
Plastics Engineering,Production Technology
Policy,Social Science
Political Science,Social Science
Polymer Chemistry,Organic Chemistry|Polymer Research
Polymer Physics,Physics|Polymer Research
Polymer Research,Chemistry|Materials Science
Population Dynamics,Demographics|Epidemiology|Mathematics
Population Genetics,Genetics
Power Engineering,Electrical Engineering
Practical Philosophy,Philosophy
Preclinical Studies,Medicines Research and Development
Prehistory,Ancient Cultures|History
Primary Health Care,Medicine
Primary Shaping Technology,Production Technology
Private Law,Jurisprudence
Process Engineering,Engineering Science
Production Technology,Industrial Engineering
Professional Socialization,Education Science
Proteogenomics,Bioinformatics|Genomics
Proteomics,Omics
Protestant Theology,Theology
Psychiatry,Medicine
Psychology,Social and Behavioural Science
Psychosomatic Medicine,Neuroscience|Psychiatry
Psychotherapy,Neuroscience
Public Finance,Economics
Public Health,Medicine
Public Law,Jurisprudence
Pure Mathematics,Mathematics
Quantitative Genetics,Genetics
Radiation Oncology,Oncology|Radiobiology
Radiobiology,Biology|Medicine
Radiology,Medicine
Regenerative Medicine,Medicine
Religious Studies,Area Studies
Remote Sensing,Geoinformatics
Reproductive Health,Medicine
"Research on Teaching, Learning and Training",Education Science
Respiratory Medicine,Medicine
Rheumatology,Musculoskeletal Medicine
Robotics,Systems Engineering
Roman Catholic Theology,Theology
Rural and Agricultural Sociology,Social Science
Safety Science,Industrial Engineering|Social Science
Scientific Instrument Design,Mechanical Engineering
Selenography,Astrophysics and Astronomy
Sintering,Materials Engineering
Social Anthropology,Anthropology
Social Medicine,Public Health|Social Policy
Social Policy,Policy
Social Psychology,Psychology
Social Science,Social and Behavioural Science
Social and Behavioural Science,Humanities and Social Science
Sociological Theory,Social Science
Soft Matter Physics,Biology|Physical Chemistry|Physics
Software Engineering,Computer Science
Soil Science,Agronomy|Earth Science|Microbiology
Solid-State Chemistry,Materials Science|Physical Chemistry
Statistical Physics,Physics|Statistics
Statistics,Mathematics
Structural Biology,Biology
Structural Engineering,Construction Engineering
Structural Genomics,Genomics|Structural Biology
Subject Agnostic,
Surface Science,Physical Chemistry
Surgery,Medicine
Sustainable Building Technology,Architecture
Synthesis Chemistry,Physical Chemistry
Synthetic Biology,Bioengineering
Synthetic Chemistry,Chemistry
Systemic Neuroscience,Neuroscience|Systems Biology
Systems Biology,Biology
Systems Engineering,Engineering Science
Systems Medicine,Medicine
Taxonomy,Evolutionary Biology
Technical Chemistry,Chemistry|Process Engineering
Telecommunication Engineering,Electrical Engineering
Theatre Studies,Area Studies|Fine Arts
Theology,Humanities
Theoretical Chemistry,Chemistry
Theoretical Computer Science,Computer Science
Theoretical Condensed Matter Physics,Condensed Matter Physics
Theoretical Philosophy,Philosophy
